"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643505238752496;"07:38:52";"07:38:52";"1639";3;0;0
"M1";113643505238752496;"07:40:17";"07:40:17";"1640B";4;0;0
"M1";113643505238752496;"07:43:00";"07:43:00";"1382";5;0;0
"M1";113643506238752496;"07:42:00";"07:42:00";"7832";1;0;0
"M1";113643506238752496;"07:45:00";"07:45:00";"2913";2;0;0
"M1";113643506238752496;"07:45:52";"07:45:52";"1639";3;0;0
"M1";113643506238752496;"07:47:17";"07:47:17";"1640B";4;0;0
"M1";113643506238752496;"07:50:00";"07:50:00";"1382";5;0;0
"M1";113643507238752496;"07:50:00";"07:50:00";"7832";1;0;0
"M1";113643507238752496;"07:53:00";"07:53:00";"2913";2;0;0
"M1";113643507238752496;"07:53:52";"07:53:52";"1639";3;0;0
"M1";113643507238752496;"07:55:17";"07:55:17";"1640B";4;0;0
"M1";113643507238752496;"07:58:00";"07:58:00";"1382";5;0;0
"M1";113643508238752496;"07:57:00";"07:57:00";"7832";1;0;0
"M1";113643508238752496;"08:00:00";"08:00:00";"2913";2;0;0
"M1";113643508238752496;"08:01:02";"08:01:02";"1639";3;0;0
"M1";113643508238752496;"08:02:44";"08:02:44";"1640B";4;0;0
"M1";113643508238752496;"08:06:00";"08:06:00";"1382";5;0;0
"M1";113643509238752496;"08:06:00";"08:06:00";"7832";1;0;0
"M1";113643509238752496;"08:10:00";"08:10:00";"2913";2;0;0
"M1";113643509238752496;"08:11:02";"08:11:02";"1639";3;0;0
"M1";113643509238752496;"08:12:44";"08:12:44";"1640B";4;0;0
"M1";113643509238752496;"08:16:00";"08:16:00";"1382";5;0;0
"M1";113643510238752496;"20:03:00";"20:03:00";"7832";1;0;0
"M1";113643510238752496;"20:06:00";"20:06:00";"2913";2;0;0
"M1";113643510238752496;"20:06:52";"20:06:52";"1639";3;0;0
"M1";113643510238752496;"20:08:17";"20:08:17";"1640B";4;0;0
"M1";113643510238752496;"20:11:00";"20:11:00";"1382";5;0;0
"M1";113643511238752496;"20:08:00";"20:08:00";"7832";1;0;0
"M1";113643511238752496;"20:11:00";"20:11:00";"2913";2;0;0
"M1";113643511238752496;"20:11:52";"20:11:52";"1639";3;0;0
"M1";113643511238752496;"20:13:17";"20:13:17";"1640B";4;0;0
"M1";113643511238752496;"20:16:00";"20:16:00";"1382";5;0;0
"M1";113643512238752496;"20:13:00";"20:13:00";"7832";1;0;0
"M1";113643512238752496;"20:16:00";"20:16:00";"2913";2;0;0
"M1";113643512238752496;"20:16:52";"20:16:52";"1639";3;0;0
"M1";113643512238752496;"20:18:17";"20:18:17";"1640B";4;0;0
"M1";113643512238752496;"20:21:00";"20:21:00";"1382";5;0;0
"M1";113643513238752496;"20:18:00";"20:18:00";"7832";1;0;0
