Code_Ligne,Variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,Distance
012b,"1","1",9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.00000000000,176429.00000000000,B,"12",BRUSSELS CITY,0.068
012b,"1","2","3017",BOURGET,BOURGET,Bourget,Bourget,154334.00000000000,174200.00000000000,B,"12",BRUSSELS CITY,4688.579
012b,"1","3","5048",DA VINCI,DA VINCI,Da Vinci,Da Vinci,152934.00000000000,173976.00000000000,B,"12",BRUSSELS CITY,6136.930
012b,"1","4","2695",GENEVE,GENEVE,Genève,Genève,152428.00000000000,172606.00000000000,B,"12",BRUSSELS CITY,7835.960
012b,"1","5","2250",MEISER,MEISER,Meiser,Meiser,152045.00000000000,171508.00000000000,B,"12",BRUSSELS CITY,9560.304
012b,"1","6",1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.10000000001,170304.70000000001,B,"12",BRUSSELS CITY,11314.337
012b,"1","7",1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.00000000000,169891.00000000000,B,"12",BRUSSELS CITY,12763.552
012b,"1","8","6432",TRONE,TROON,Trône,Troon,149829.00000000000,170014.00000000000,B,"12",BRUSSELS CITY,13297.974
012b,"1","9","1780",TRONE,TROON,Trône,Troon,149724.60000000001,170159.89999999999,B,"12",BRUSSELS CITY,13514.913
013b,"1","1","4111",ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.00000000000,171854.00000000000,B,"13",UZ-VUB,0.000
013b,"1","2","1179",AUTRIQUE,AUTRIQUE,Autrique,Autrique,147286.00000000000,172053.00000000000,B,"13",UZ-VUB,323.740
013b,"1","3","1180",VANHUFFEL,VANHUFFEL,Vanhuffel,Vanhuffel,147400.00000000000,172233.00000000000,B,"13",UZ-VUB,538.027
013b,"1","4","1183",SIMONIS,SIMONIS,Simonis,Simonis,147319.00000000000,172553.00000000000,B,"13",UZ-VUB,1060.606
013b,"1","5","4152",PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147094.00000000000,172791.00000000000,B,"13",UZ-VUB,1422.997
013b,"1","6","1303",RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146648.00000000000,172961.00000000000,B,"13",UZ-VUB,1902.536
013b,"1","7","2422",DELHOVE,DELHOVE,Delhove,Delhove,146287.60000000001,173191.60000000001,B,"13",UZ-VUB,2353.569
013b,"1","8","4158",NEREUS,NEREUS,Nereus,Nereus,146083.00000000000,173584.00000000000,B,"13",UZ-VUB,2802.185
013b,"1","9","4163",LOWET,LOWET,Lowet,Lowet,145878.00000000000,173765.00000000000,B,"13",UZ-VUB,3075.768
013b,"1","10","1710",CPAS GANSHOREN,OCMW GANSHOREN,CPAS Ganshoren,OCMW Ganshoren,146115.39999999999,173853.00000000000,B,"13",UZ-VUB,3363.681
013b,"1","11","9103",SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146419.00000000000,173987.00000000000,B,"13",UZ-VUB,3734.070
013b,"1","12","1065",LE ROUX,LE ROUX,Le Roux,Le Roux,146695.00000000000,174311.00000000000,B,"13",UZ-VUB,4404.606
013b,"1","13","1066",EUGENE TOUSSAINT,EUGENE TOUSSAINT,Eugène Toussaint,Eugène Toussaint,146699.00000000000,174537.00000000000,B,"13",UZ-VUB,4631.896
013b,"1","14","1067",RENIERS,RENIERS,Reniers,Reniers,146717.00000000000,174718.00000000000,B,"13",UZ-VUB,4823.972
013b,"1","15","1711",BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146736.70000000001,175023.79999999999,B,"13",UZ-VUB,5130.292
013b,"1","16","1599",DIELEGHEM,DIELEGEM,Dieleghem,Dielegem,146523.00000000000,175301.00000000000,B,"13",UZ-VUB,5509.010
013b,"1","17","2850",AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146272.00000000000,175504.00000000000,B,"13",UZ-VUB,5944.319
013b,"1","18","1328",ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.50000000000,175835.00000000000,B,"13",UZ-VUB,6430.453
013b,"1","19","1721",UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.70000000001,175505.79999999999,B,"13",UZ-VUB,6902.031
013b,"1","20","1722",UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.00000000000,175117.00000000000,B,"13",UZ-VUB,7315.894
013b,"1","21","1727",UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145769.00000000000,175067.00000000000,B,"13",UZ-VUB,7540.161
014b,"1","1",4264B,HEYSEL,HEIZEL,Heysel,Heizel,147732.00000000000,176276.00000000000,B,"14",GARE DU NORD,0.023
014b,"1","2","6481",ROI BAUDOUIN,KONING BOUDEWIJN,Roi Baudouin,Koning Boudewijn,147253.00000000000,176278.00000000000,B,"14",GARE DU NORD,547.613
014b,"1","3","4228",AMETHYSTE,AMETHIST,Améthyste,Amethist,147064.00000000000,176172.00000000000,B,"14",GARE DU NORD,792.294
014b,"1","4",4205B,PALFIJN,PALFIJN,Palfijn,Palfijn,146936.79999999999,175965.70000000001,B,"14",GARE DU NORD,1164.602
014b,"1","5","4223",DE HEYN,DE HEYN,De Heyn,De Heyn,146531.00000000000,175910.00000000000,B,"14",GARE DU NORD,1579.329
014b,"1","6","1328",ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.50000000000,175835.00000000000,B,"14",GARE DU NORD,2170.121
014b,"1","7","1721",UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.70000000001,175505.79999999999,B,"14",GARE DU NORD,2641.699
014b,"1","8","1722",UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.00000000000,175117.00000000000,B,"14",GARE DU NORD,3055.561
014b,"1","9","1368",ANCIENNE BARRIERE,OUDE AFSPANNING,Ancienne Barrière,Oude Afspanning,146475.00000000000,174971.00000000000,B,"14",GARE DU NORD,3644.189
014b,"1","10","1768",BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146761.29999999999,174954.79999999999,B,"14",GARE DU NORD,3930.996
014b,"1","11","2801",CROCQ,CROCQ,Crocq,Crocq,147244.00000000000,174951.00000000000,B,"14",GARE DU NORD,4414.721
014b,"1","12","2803",LORGE,LORGE,Lorge,Lorge,147335.00000000000,174722.00000000000,B,"14",GARE DU NORD,4672.380
014b,"1","13","6800",GARE DE JETTE,STATION JETTE,Gare de Jette,Station Jette,147279.00000000000,174430.00000000000,B,"14",GARE DU NORD,5062.477
014b,"1","14","2584",DEMINEURS,ONTMIJNERS,Démineurs,Ontmijners,147451.29999999999,174255.29999999999,B,"14",GARE DU NORD,5479.461
014b,"1","15","2586",VERBEYST,VERBEYST,Verbeyst,Verbeyst,147310.00000000000,174008.00000000000,B,"14",GARE DU NORD,5778.883
014b,"1","16","1775",LEOPOLD I,LEOPOLD I,Léopold I,Leopold I,147164.60000000001,173633.60000000001,B,"14",GARE DU NORD,6203.639
014b,"1","17","1782",FIRMIN LECHARLIER,FIRMIN LECHARLIER,Firmin Lecharlier,Firmin Lecharlier,147284.50000000000,173401.00000000000,B,"14",GARE DU NORD,6499.633
014b,"1","18","5009",BELGICA,BELGICA,Belgica,Belgica,147699.00000000000,173011.00000000000,B,"14",GARE DU NORD,7082.569
014b,"1","19","5011",VANDERSTICHELEN,VANDERSTICHELEN,Vanderstichelen,Vanderstichelen,147893.00000000000,172841.00000000000,B,"14",GARE DU NORD,7340.525
014b,"1","20","1019",PICARD,PICARD,Picard,Picard,148266.00000000000,172631.00000000000,B,"14",GARE DU NORD,7796.222
014b,"1","21","1351",AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148620.39999999999,172547.00000000000,B,"14",GARE DU NORD,8227.396
014b,"1","22","1349",TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148758.00000000000,172745.00000000000,B,"14",GARE DU NORD,8506.726
014b,"1","23","1016",WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148947.00000000000,172547.00000000000,B,"14",GARE DU NORD,8862.899
014b,"1","24","1024",WTC,WTC,WTC,WTC,149057.00000000000,172310.00000000000,B,"14",GARE DU NORD,9212.942
014b,"1","25","1083",GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149306.00000000000,172222.00000000000,B,"14",GARE DU NORD,9478.676
017b,"1","1","4297",BEAULIEU,BEAULIEU,Beaulieu,Beaulieu,152781.00000000000,167220.00000000000,B,"17",HEILIGENBORRE,0.023
017b,"1","2","4298",MICHIELS,MICHIELS,Michiels,Michiels,152428.00000000000,167149.00000000000,B,"17",HEILIGENBORRE,491.684
017b,"1","3","4299",BRILLANT,BRILJANT,Brillant,Briljant,152276.00000000000,166815.00000000000,B,"17",HEILIGENBORRE,900.641
017b,"1","4","4310",KEYM,KEYM,Keym,Keym,152445.00000000000,166575.00000000000,B,"17",HEILIGENBORRE,1248.362
017b,"1","5","4311",VANDER ELST,VANDER ELST,Vander Elst,Vander Elst,152675.00000000000,166084.00000000000,B,"17",HEILIGENBORRE,1805.941
017b,"1","6","1453",CALYPSO 2000,CALYPSO 2000,Calypso 2000,Calypso 2000,152892.00000000000,165840.00000000000,B,"17",HEILIGENBORRE,2175.244
017b,"1","7","4313",LES 3 TILLEULS,DRIE LINDEN,Les Trois Tilleuls,Drie Linden,153084.00000000000,165793.00000000000,B,"17",HEILIGENBORRE,2375.009
017b,"1","8","4347",MIRAVAL,MIRAVAL,Miraval,Miraval,153221.00000000000,165483.00000000000,B,"17",HEILIGENBORRE,2747.510
017b,"1","9","4349",WIENER,WIENER,Wiener,Wiener,153547.00000000000,165343.00000000000,B,"17",HEILIGENBORRE,3179.108
017b,"1","10","4342",DIABOLO,DIABOLO,Diabolo,Diabolo,153449.00000000000,165098.00000000000,B,"17",HEILIGENBORRE,3457.222
017b,"1","11","4289",ETANGS BOITSFORT,VIJVERS BOSVOORDE,Étangs de Boitsfort,Vijvers van Bosvoorde,153507.00000000000,164850.00000000000,B,"17",HEILIGENBORRE,3712.861
017b,"1","12","4288",INTERNAT. SCHOOL,INTERNAT. SCHOOL,International School,International School,153569.00000000000,164636.00000000000,B,"17",HEILIGENBORRE,3955.711
017b,"1","13","4290",KATTENBERG,KATTENBERG,Kattenberg,Kattenberg,153618.29999999999,164451.00000000000,B,"17",HEILIGENBORRE,4148.183
017b,"1","14","1472",FORESTERIE,VORSTERIE,Foresterie,Vorsterie,153955.20000000001,163965.29999999999,B,"17",HEILIGENBORRE,5038.734
017b,"1","15","4319",EQUIPAGES,JACHTSTOET,Équipages,Jachtstoet,153796.89999999999,164104.70000000001,B,"17",HEILIGENBORRE,5249.806
017b,"1","16","9059",HEILIGENBORRE,HEILIGENBORRE,Heiligenborre,Heiligenborre,153644.00000000000,164347.00000000000,B,"17",HEILIGENBORRE,5544.632
020b,"1","1","1142",HUNDERENVELD,HUNDERENVELD,Hunderenveld,Hunderenveld,143858.00000000000,172988.00000000000,B,"20",GARE DU NORD,0.074
020b,"1","2","1102",SEPT ETOILES,ZEVEN STERREN,Sept Étoiles,Zeven Sterren,144137.00000000000,172703.00000000000,B,"20",GARE DU NORD,423.578
020b,"1","3","4598",BROEK,BROEK,Broek,Broek,144285.00000000000,172497.00000000000,B,"20",GARE DU NORD,680.391
020b,"1","4","1095",PLACE DE L'EGLISE,KERKPLEIN,Place de l'Église,Kerkplein,144664.00000000000,172319.00000000000,B,"20",GARE DU NORD,1100.972
020b,"1","5","1105",COMHAIRE,COMHAIRE,Comhaire,Comhaire,144906.00000000000,172178.00000000000,B,"20",GARE DU NORD,1388.083
020b,"1","6","1306",SCHWEITZER,SCHWEITZER,Schweitzer,Schweitzer,144955.00000000000,172673.00000000000,B,"20",GARE DU NORD,1944.149
020b,"1","7",1118B,GENOT,GENOT,Genot,Genot,145247.50000000000,172467.70000000001,B,"20",GARE DU NORD,2379.931
020b,"1","8","1119",WINTEROY,WINTEROY,Winteroy,Winteroy,145625.89999999999,172678.89999999999,B,"20",GARE DU NORD,2827.606
020b,"1","9","1096",BENES,BENES,Bénès,Bénès,146024.00000000000,172638.00000000000,B,"20",GARE DU NORD,3323.290
020b,"1","10","1097",BASTOGNE,BASTENAKEN,Bastogne,Bastenaken,146278.00000000000,172322.00000000000,B,"20",GARE DU NORD,3734.483
020b,"1","11","2073",KARREVELD,KARREVELD,Karreveld,Karreveld,146535.70000000001,171914.89999999999,B,"20",GARE DU NORD,4279.827
020b,"1","12","2081",OSSEGHEM,OSSEGEM,Osseghem,Ossegem,146941.79999999999,171838.10000000001,B,"20",GARE DU NORD,4694.098
020b,"1","13","4111",ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.00000000000,171854.00000000000,B,"20",GARE DU NORD,5182.310
020b,"1","14","1792",MERCHTEM,MERCHTEM,Merchtem,Merchtem,147727.00000000000,171986.89999999999,B,"20",GARE DU NORD,5523.765
020b,"1","15",5013B,RIBAUCOURT,RIBAUCOURT,Ribaucourt,Ribaucourt,148037.70000000001,172204.00000000000,B,"20",GARE DU NORD,5945.426
020b,"1","16","1351",AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148620.39999999999,172547.00000000000,B,"20",GARE DU NORD,6844.664
020b,"1","17","1349",TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148758.00000000000,172745.00000000000,B,"20",GARE DU NORD,7123.993
020b,"1","18","1016",WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148947.00000000000,172547.00000000000,B,"20",GARE DU NORD,7480.167
020b,"1","19","1024",WTC,WTC,WTC,WTC,149057.00000000000,172310.00000000000,B,"20",GARE DU NORD,7830.209
020b,"1","20","1083",GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149306.00000000000,172222.00000000000,B,"20",GARE DU NORD,8095.945
020b,"1","21","1900",GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149403.00000000000,172188.00000000000,B,"20",GARE DU NORD,8775.052
021b,"1","1","3201",MAES,MAES,Maes,Maes,154282.00000000000,175125.00000000000,B,"21",LUXEMBOURG,0.056
021b,"1","2","3199",AERODROME,VLIEGVELD,Aérodrome,Vliegveld,153969.00000000000,175334.00000000000,B,"21",LUXEMBOURG,401.142
021b,"1","3","3203",MIDDELWEG,MIDDELWEG,Middelweg,Middelweg,153604.00000000000,174800.00000000000,B,"21",LUXEMBOURG,1097.456
021b,"1","4","3204",SABCA,SABCA,SABCA,SABCA,153405.00000000000,174623.00000000000,B,"21",LUXEMBOURG,1363.715
021b,"1","5","3214",BORDET STATION,BORDET STATION,Bordet Station,Bordet Station,152925.60000000001,174203.60000000001,B,"21",LUXEMBOURG,2001.878
021b,"1","6","2924",OUD KAPELLEKE,OUD KAPELLEKE,Oud Kapelleke,Oud Kapelleke,152411.00000000000,173754.00000000000,B,"21",LUXEMBOURG,2696.616
021b,"1","7","3361",HOEDEMAEKERS,HOEDEMAEKERS,Hoedemaekers,Hoedemaekers,152472.00000000000,173489.00000000000,B,"21",LUXEMBOURG,3089.688
021b,"1","8","3425",PERMEKE,PERMEKE,Permeke,Permeke,152651.00000000000,173359.00000000000,B,"21",LUXEMBOURG,3320.494
021b,"1","9","3458",LOISIRS,VRIJETIJD,Loisirs,Vrijetijd,152641.00000000000,173062.00000000000,B,"21",LUXEMBOURG,3641.367
021b,"1","10","3466",EVERE SHOPPING,EVERE SHOPPING,Evere Shopping,Evere Shopping,152477.00000000000,172891.00000000000,B,"21",LUXEMBOURG,3943.246
021b,"1","11","2695",GENEVE,GENEVE,Genève,Genève,152428.00000000000,172606.00000000000,B,"21",LUXEMBOURG,4237.039
021b,"1","12","3468",PAUL LEDUC,PAUL LEDUC,Paul Leduc,Paul Leduc,152459.00000000000,172251.00000000000,B,"21",LUXEMBOURG,4599.557
021b,"1","13","4500",RTL HOUSE,RTL HOUSE,RTL House,RTL House,152781.00000000000,171834.00000000000,B,"21",LUXEMBOURG,5130.994
021b,"1","14","4505",MOMMAERTS,MOMMAERTS,Mommaerts,Mommaerts,153116.00000000000,171834.00000000000,B,"21",LUXEMBOURG,5586.520
021b,"1","15","3904",CARENE,CARINA,Carène,Carina,153224.00000000000,171570.00000000000,B,"21",LUXEMBOURG,5950.926
021b,"1","16","3905",COLONEL BOURG,KOLONEL BOURG,Colonel Bourg,Kolonel Bourg,152874.00000000000,171351.00000000000,B,"21",LUXEMBOURG,6374.394
021b,"1","17","3911",DIVIN SAUVEUR,GODD. ZALIGMAKER,Divin Sauveur,Goddelijke Zaligmaker,152793.00000000000,171104.50000000000,B,"21",LUXEMBOURG,6752.673
021b,"1","18","6454",DIAMANT,DIAMANT,Diamant,Diamant,152309.00000000000,170982.00000000000,B,"21",LUXEMBOURG,7273.564
021b,"1","19","1563",OPALE,OPAAL,Opale,Opaal,152105.00000000000,171088.00000000000,B,"21",LUXEMBOURG,7503.528
021b,"1","20","3216",PLASKY,PLASKY,Plasky,Plasky,151916.00000000000,171194.00000000000,B,"21",LUXEMBOURG,7755.559
021b,"1","21","3707",JAMBLINNE DE MEUX,JAMBLINNE DE MEUX,de Jamblinne de Meux,de Jamblinne de Meux,151851.00000000000,170871.00000000000,B,"21",LUXEMBOURG,8098.259
021b,"1","22","1463",GUEUX,GEUZEN,Gueux,Geuzen,151560.00000000000,170733.00000000000,B,"21",LUXEMBOURG,8453.792
021b,"1","23","1464",MICHEL-ANGE,MICHELANGELO,Michel-Ange,Michelangelo,151254.00000000000,170542.00000000000,B,"21",LUXEMBOURG,8814.493
021b,"1","24",1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.10000000001,170304.70000000001,B,"21",LUXEMBOURG,9155.559
021b,"1","25","1476",FROISSART,FROISSART,Froissart,Froissart,150925.00000000000,170010.00000000000,B,"21",LUXEMBOURG,9549.214
021b,"1","26",1497B,TOULOUSE,TOULOUSE,Toulouse,Toulouse,150509.20000000001,170303.39999999999,B,"21",LUXEMBOURG,10111.871
021b,"1","27","1160",TREVES,TRIER,Trêves,Trier,150420.00000000000,170174.00000000000,B,"21",LUXEMBOURG,10306.661
021b,"1","28",1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.00000000000,169891.00000000000,B,"21",LUXEMBOURG,10604.947
027b,"1","1",1262B,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150364.00000000000,169982.00000000000,B,"27",PLEIADES,0.076
027b,"1","2","1132",TREVES,TRIER,Trêves,Trier,150392.00000000000,170066.00000000000,B,"27",PLEIADES,88.578
027b,"1","3","1133",PARC LEOPOLD,LEOPOLDSPARK,Parc Léopold,Leopoldspark,150698.00000000000,169992.00000000000,B,"27",PLEIADES,428.021
027b,"1","4","1134",NERVIENS,NERVIERS,Nerviens,Nerviërs,151259.60000000001,169875.20000000001,B,"27",PLEIADES,1003.891
027b,"1","5","1135",GAULOIS,GALLIERS,Gaulois,Galliërs,151694.00000000000,169739.00000000000,B,"27",PLEIADES,1459.003
027b,"1","6","1136",MERODE,MERODE,Merode,Merode,152097.00000000000,169867.00000000000,B,"27",PLEIADES,1905.414
027b,"1","7","2283",MONTGOMERY,MONTGOMERY,Montgomery,Montgomery,152773.00000000000,169621.00000000000,B,"27",PLEIADES,2643.322
027b,"1","8","1113",ICHEC,ICHEC,ICHEC,ICHEC,152784.00000000000,169822.00000000000,B,"27",PLEIADES,2854.508
027b,"1","9","1139",GEORGES HENRI,GEORGES HENRI,Georges Henri,Georges Henri,152674.00000000000,170194.00000000000,B,"27",PLEIADES,3244.118
027b,"1","10","1140",DEGROOFF,DEGROOFF,Degrooff,Degrooff,153043.00000000000,170360.00000000000,B,"27",PLEIADES,3674.921
027b,"1","11","1141",MEUDON,MEUDON,Meudon,Meudon,153418.00000000000,170518.00000000000,B,"27",PLEIADES,4082.533
027b,"1","12","1138",ZEPHYR,WESTENWIND,Zéphyr,Westenwind,153672.00000000000,170711.00000000000,B,"27",PLEIADES,4415.618
027b,"1","13","1522",VERHEYLEWEGHEN,VERHEYLEWEGHEN,Verheyleweghen,Verheyleweghen,153971.00000000000,170860.00000000000,B,"27",PLEIADES,4751.741
027b,"1","14","3899",MOONENS,MOONENS,Moonens,Moonens,154232.00000000000,170893.00000000000,B,"27",PLEIADES,5020.551
027b,"1","15","3900",SAINTE-FAMILLE,HEILIGE FAMILIE,Sainte-Famille,Heilige Familie,154170.00000000000,171107.00000000000,B,"27",PLEIADES,5298.666
027b,"1","16","2430",ANDROMEDE,ANDROMEDA,Andromède,Andromeda,153932.39999999999,171408.29999999999,B,"27",PLEIADES,5975.095
027b,"1","17","3920",ANDROMEDE,ANDROMEDA,Andromède,Andromeda,153969.00000000000,171591.00000000000,B,"27",PLEIADES,6204.212
027b,"1","18","3902",CAPRICORNE,STEENBOK,Capricorne,Steenbok,153671.00000000000,171642.00000000000,B,"27",PLEIADES,6559.269
027b,"1","19","3903",PLEIADES,PLEJADEN,Pléiades,Plejaden,153486.20000000001,171514.60000000001,B,"27",PLEIADES,6787.715
027b,"1","20","2429",PLEIADES,PLEJADEN,Pléiades,Plejaden,153419.10000000001,171495.10000000001,B,"27",PLEIADES,6857.380
028b,"1","1","2919",BRABANCONNE,BRABANCONNE,Brabançonne,Brabançonne,151293.79999999999,171250.10000000001,B,"28",KONKEL,0.000
028b,"1","2","6021",CHASSEURS ARDEN.,ARDENSE JAGERS,Chasseurs Ardennais,Ardense Jagers,151458.00000000000,170984.00000000000,B,"28",KONKEL,354.447
028b,"1","3","1403",JAMBLINNE DE MEUX,JAMBLINNE DE MEUX,de Jamblinne de Meux,de Jamblinne de Meux,151759.00000000000,170760.00000000000,B,"28",KONKEL,744.581
028b,"1","4","1404",VICTOR HUGO,VICTOR HUGO,Victor Hugo,Victor Hugo,152018.00000000000,170812.00000000000,B,"28",KONKEL,1047.401
028b,"1","5","6449",DIAMANT,DIAMANT,Diamant,Diamant,152324.00000000000,170924.00000000000,B,"28",KONKEL,1373.519
028b,"1","6","1406",VERGOTE,VERGOTE,Vergote,Vergote,152482.00000000000,170595.00000000000,B,"28",KONKEL,1772.128
028b,"1","7","1424",GEORGES HENRI,GEORGES HENRI,Georges Henri,Georges Henri,152656.00000000000,170208.00000000000,B,"28",KONKEL,2212.167
028b,"1","8","1140",DEGROOFF,DEGROOFF,Degrooff,Degrooff,153043.00000000000,170360.00000000000,B,"28",KONKEL,2627.811
028b,"1","9","1141",MEUDON,MEUDON,Meudon,Meudon,153418.00000000000,170518.00000000000,B,"28",KONKEL,3035.423
028b,"1","10","1408",MONTALD,MONTALD,Montald,Montald,153700.00000000000,170399.00000000000,B,"28",KONKEL,3357.012
028b,"1","11","6476",TOMBERG,TOMBERG,Tomberg,Tomberg,153948.00000000000,170270.00000000000,B,"28",KONKEL,3636.504
028b,"1","12","1410",MELARD,MELARD,Melard,Melard,154201.00000000000,170180.00000000000,B,"28",KONKEL,3911.686
028b,"1","13","1421",SLEGERS,SLEGERS,Slegers,Slegers,154482.00000000000,170116.00000000000,B,"28",KONKEL,4233.652
028b,"1","14","1412",VOOT,VOOT,Voot,Voot,154663.00000000000,170067.00000000000,B,"28",KONKEL,4440.086
028b,"1","15","1422",DEPORTES,WEGGEVOERDEN,Déportés,Weggevoerden,154869.00000000000,169934.00000000000,B,"28",KONKEL,4728.321
028b,"1","16","1423",PARC MALOU,MALOUPARK,Parc Malou,Maloupark,155039.00000000000,169990.00000000000,B,"28",KONKEL,4950.575
028b,"1","17","1415",STADE FALLON,FALLON STADION,Stade Fallon,Fallon Stadion,155251.00000000000,170087.00000000000,B,"28",KONKEL,5192.528
028b,"1","18","1831",DON BOSCO,DON BOSCO,Don Bosco,Don Bosco,155647.00000000000,170113.00000000000,B,"28",KONKEL,5599.327
028b,"1","19","1830",KONKEL,KONKEL,Konkel,Konkel,155785.00000000000,170189.00000000000,B,"28",KONKEL,5876.574
029b,"1","1","2594",DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148886.29999999999,171148.50000000000,B,"29",HOF TEN BERG,0.000
029b,"1","2","1820",DE BROUCKERE,DE BROUCKERE,De Brouckère,De Brouckère,148771.00000000000,171120.00000000000,B,"29",HOF TEN BERG,332.816
029b,"1","3","2296",ARENBERG,ARENBERG,Arenberg,Arenberg,149136.00000000000,170863.00000000000,B,"29",HOF TEN BERG,787.088
029b,"1","4","6445",GARE CENTRALE,CENTRAAL STATION,Gare Centrale,Centraal Station,149193.00000000000,170606.00000000000,B,"29",HOF TEN BERG,1124.556
029b,"1","5","3072",ROSA PARKS,ROSA PARKS,Rosa Parks,Rosa Parks,149485.00000000000,170777.00000000000,B,"29",HOF TEN BERG,1472.005
029b,"1","6","3353",TREURENBERG,TREURENBERG,Treurenberg,Treurenberg,149650.00000000000,170832.00000000000,B,"29",HOF TEN BERG,1654.873
029b,"1","7","3354",PRESSE,DRUKPERS,Presse,Drukpers,149944.00000000000,170922.00000000000,B,"29",HOF TEN BERG,1962.357
029b,"1","8","1508",MADOU,MADOU,Madou,Madou,150083.00000000000,170970.00000000000,B,"29",HOF TEN BERG,2109.867
029b,"1","9","1509",SAINT-JOSSE,SINT-JOOST,Saint-Josse,Sint-Joost,150393.00000000000,171039.00000000000,B,"29",HOF TEN BERG,2437.310
029b,"1","10","2680",CLOVIS,CLOVIS,Clovis,Clovis,150873.00000000000,171132.00000000000,B,"29",HOF TEN BERG,2949.592
029b,"1","11","1512",VINCOTTE,VINCOTTE,Vinçotte,Vinçotte,151131.00000000000,171247.00000000000,B,"29",HOF TEN BERG,3232.199
029b,"1","12","1513",DAILLY,DAILLY,Dailly,Dailly,151388.00000000000,171342.00000000000,B,"29",HOF TEN BERG,3506.293
029b,"1","13","1514",RADIUM,RADIUM,Radium,Radium,151623.00000000000,171395.00000000000,B,"29",HOF TEN BERG,3779.076
029b,"1","14","1515",PLASKY,PLASKY,Plasky,Plasky,151814.00000000000,171236.00000000000,B,"29",HOF TEN BERG,4035.710
029b,"1","15","1516",OPALE,OPAAL,Opale,Opaal,152108.00000000000,171076.00000000000,B,"29",HOF TEN BERG,4417.840
029b,"1","16","6451",DIAMANT,DIAMANT,Diamant,Diamant,152314.00000000000,170969.00000000000,B,"29",HOF TEN BERG,4650.049
029b,"1","17","1518",LEVIE,LEVIE,Levie,Levie,152746.00000000000,170836.00000000000,B,"29",HOF TEN BERG,5106.340
029b,"1","18","1519",MAI,MEI,Mai,Mei,153151.00000000000,170881.00000000000,B,"29",HOF TEN BERG,5535.767
029b,"1","19","1520",HEYDENBERG,HEYDENBERG,Heydenberg,Heydenberg,153442.00000000000,170914.00000000000,B,"29",HOF TEN BERG,5854.825
029b,"1","20","1521",SPEECKAERT,SPEECKAERT,Speeckaert,Speeckaert,153632.00000000000,170894.00000000000,B,"29",HOF TEN BERG,6046.303
029b,"1","21","1522",VERHEYLEWEGHEN,VERHEYLEWEGHEN,Verheyleweghen,Verheyleweghen,153971.00000000000,170860.00000000000,B,"29",HOF TEN BERG,6399.099
029b,"1","22","3899",MOONENS,MOONENS,Moonens,Moonens,154232.00000000000,170893.00000000000,B,"29",HOF TEN BERG,6667.909
029b,"1","23","1529",HYMANS,HYMANS,Hymans,Hymans,154399.00000000000,170705.00000000000,B,"29",HOF TEN BERG,6993.250
029b,"1","24","1379",ROODEBEEK,ROODEBEEK,Roodebeek,Roodebeek,154744.70000000001,170841.50000000000,B,"29",HOF TEN BERG,7408.798
