"Time";"LineID";"DirectionID";"DistanceFromPoint";"PointID "
1631697784104;1;8071;0;03:16:01
1631697784104;1;8161;0;03:25:33
1631697784104;1;8731;0;03:14:41
1631697784104;1;8731;0;03:15:31
1631697784104;1;8161;0;03:13:42
1631697784104;1;8161;1;03:25:31
1631697784104;1;8161;1;03:15:42
1631697784104;1;8161;0;03:15:12
1631697784104;1;8731;0;03:17:51
1631697784104;1;8161;1;03:25:42
1631697784104;2;8763;1;03:18:31
1631697784104;2;8763;0;03:20:31
1631697784104;2;8472;0;03:19:32
1631697784104;2;8763;0;03:19:21
1631697784104;2;8763;1;03:19:41
1631697784104;2;8472;1;03:18:32
1631697784104;3;5776;40;01:10:26
1631697784104;3;6423;0;01:08:31
1631697784104;3;6151;0;02:35:01
1631697784104;3;6423;0;02:35:01
1631697784104;3;5776;36;02:36:10
1631697784104;3;5776;0;02:36:16
1631697784104;3;5776;0;01:12:02
1631697784104;3;6423;199;02:35:05
1631697784104;3;6423;0;01:11:44
1631697784104;3;6423;0;01:08:51
1631697784104;3;5776;43;01:42:17
1631697784104;3;6423;166;02:44:13
1631697784104;3;5776;34;02:42:57
1631697784104;3;6423;69;01:42:23
1631697784104;4;4502;46;02:23:46
1631697784104;4;526;320;02:24:20
1631697784104;4;526;0;02:38:37
1631697784104;4;4502;46;01:11:45
1631697784104;4;526;79;01:10:06
1631697784104;4;526;0;02:15:01
1631697784104;4;4502;1;02:47:03
1631697784104;4;526;38;01:12:05
1631697784104;5;8262;0;03:24:12
1631697784104;5;8262;1;03:16:52
1631697784104;5;8641;0;03:24:51
1631697784104;5;8262;0;03:24:52
1631697784104;5;8262;1;03:17:22
1631697784104;5;8642;1;03:25:41
1631697784104;5;8642;1;03:17:31
1631697784104;5;8262;1;03:25:32
1631697784104;5;8262;0;03:24:02
1631697784104;5;8262;1;03:14:02
1631697784104;5;8262;0;03:18:02
1631697784104;5;8641;0;03:17:42
1631697784104;5;8641;0;03:17:01
1631697784104;6;8472;0;03:20:12
1631697784104;6;8834;0;03:21:12
1631697784104;6;8834;0;03:20:01
1631697784104;6;8472;0;03:27:14
1631697784104;6;8472;1;03:26:04
1631697784104;6;8834;1;03:25:53
1631697784104;6;8834;1;03:19:31
1631697784104;6;8472;1;03:19:12
1631697784104;6;8472;1;03:26:34
1631697784104;6;8472;0;03:21:02
1631697784104;6;8834;0;03:19:11
1631697784104;6;8834;0;03:21:11
1631697784104;7;6421;469;02:28:27
1631697784104;7;9051;84;02:27:35
1631697784104;7;9051;0;02:27:41
1631697784104;7;9963;344;02:47:01
1631697784104;7;9051;80;01:13:26
1631697784104;7;6421;0;02:35:06
1631697784104;7;6421;485;02:35:58
1631697784104;7;6421;0;01:58:01
1631697784104;7;9051;434;02:47:36
1631697784104;7;9051;0;02:29:15
1631697784104;7;9963;0;02:47:01
1631697784104;7;6421;360;02:27:46
1631697784104;7;6421;114;02:28:32
1631697784104;7;6421;0;03:30:56
1631697784104;7;6421;0;03:30:56
1631697784104;7;9051;0;02:36:46
1631697784104;8;6361;0;02:27:10
1631697784104;8;6361;0;02:30:54
1631697784104;8;6361;284;02:27:04
1631697784104;8;5229;0;02:27:05
1631697784104;8;5229;49;02:30:15
1631697784104;8;6361;38;02:31:00
1631697784104;8;6361;79;01:58:01
1631697784104;8;5229;517;02:30:05
1631697784104;8;6361;38;01:33:34
1631697784104;8;6361;406;02:31:07
1631697784104;8;6361;0;02:27:10
1631697784104;8;5229;0;02:30:22
1631697784104;8;5229;203;02:27:38
1631697784104;8;6361;42;02:31:10
1631697784104;8;5229;68;01:34:37
1631697784104;8;5229;436;02:27:07
1631697784104;9;473;213;02:53:25
1631697784104;9;1687;0;01:07:50
1631697784104;9;1687;0;01:28:01
1631697784104;12;9600;0;01:29:40
1631697784104;12;1780;40;02:47:12
1631697784104;12;9600;942;01:23:38
1631697784104;12;1780;1301;01:50:17
1631697784104;12;1780;0;03:40:00
1631697784104;12;1780;1349;01:50:17
1631697784104;12;9600;484;01:50:18
1631697784104;12;2247;0;01:29:40
1631697784104;13;4111;154;02:08:32
1631697784104;13;4111;54;02:58:42
1631697784104;13;1727;0;02:08:31
1631697784104;13;1727;237;01:19:43
1631697784104;13;4111;0;01:28:52
1631697784104;14;4265;118;02:11:08
1631697784104;14;1083;247;01:22:29
1631697784104;14;1083;44;02:53:20
1631697784104;14;1083;0;02:11:04
1631697784104;14;4265;56;01:29:15
1631697784104;14;1083;548;02:10:23
1631697784104;14;1083;0;01:18:03
1631697784104;14;4265;11;01:17:31
1631697784104;17;4297;137;02:11:36
1631697784104;17;9059;262;02:11:53
1631697784104;17;4297;248;02:11:32
1631697784104;19;5170;970;02:23:21
1631697784104;19;5170;167;02:26:14
1631697784104;19;5170;36;01:47:49
1631697784104;19;5170;10;01:19:59
1631697784104;19;5170;0;02:23:21
1631697784104;19;5086;0;01:07:51
1631697784104;19;5170;42;01:07:52
1631697784104;19;5086;62;02:54:27
1631697784104;19;5170;0;02:23:21
1631697784104;19;5086;0;01:18:14
1631697784104;20;1900;0;01:19:02
1631697784104;20;1900;135;01:18:17
1631697784104;20;1900;34;01:19:02
1631697784104;20;2081;60;01:18:16
1631697784104;20;1194;84;01:17:10
1631697784104;20;1194;42;01:34:42
1631697784104;20;1194;40;01:22:30
1631697784104;20;1900;65;01:18:16
1631697784104;20;1900;770;02:23:33
1631697784104;21;3201;0;01:21:02
1631697784104;21;1162;632;01:53:34
1631697784104;21;1162;38;01:53:36
1631697784104;21;3201;42;01:23:22
1631697784104;21;3201;0;01:56:44
1631697784104;25;2793;0;02:30:59
1631697784104;25;2793;42;02:29:12
1631697784104;25;2794;7;01:45:20
1631697784104;25;6487;42;01:56:00
1631697784104;25;6487;0;01:46:33
1631697784104;25;539;0;02:35:14
1631697784104;25;2793;311;01:13:46
1631697784104;25;539;111;02:35:14
1631697784104;25;2794;0;01:08:59
1631697784104;25;539;0;01:46:34
1631697784104;25;6487;38;02:30:15
1631697784104;25;2793;415;02:31:08
1631697784104;27;2429;0;01:19:00
1631697784104;27;1139;381;01:18:55
1631697784104;27;2429;10;02:04:59
1631697784104;27;1162;0;01:40:29
1631697784104;27;1162;194;01:19:16
1631697784104;27;2429;44;01:40:30
1631697784104;27;2500;0;01:40:29
1631697784104;27;2429;0;01:21:02
1631697784104;27;1139;111;01:53:31
1631697784104;27;1139;42;01:18:46
1631697784104;27;2429;34;01:18:55
1631697784104;27;1162;217;01:19:14
1631697784104;28;2919;56;02:40:55
1631697784104;28;1830;57;01:23:44
1631697784104;28;2919;0;01:30:30
1631697784104;28;1830;211;01:48:39
1631697784104;28;2919;182;01:24:18
1631697784104;29;2594;5;01:26:11
1631697784104;29;1528;90;01:25:13
1631697784104;29;2594;35;01:26:05
1631697784104;29;2594;34;01:25:28
1631697784104;29;2594;116;01:38:21
1631697784104;29;1528;0;01:25:19
1631697784104;29;2594;0;01:25:28
1631697784104;29;2594;59;01:55:58
1631697784104;29;1528;0;02:47:25
1631697784104;29;2594;51;01:23:05
1631697784104;33;2177;0;02:00:33
1631697784104;33;3221;0;01:36:17
1631697784104;33;2177;0;01:18:48
1631697784104;34;4952;191;01:29:16
1631697784104;34;9978;41;01:38:11
1631697784104;34;2728;135;01:28:39
1631697784104;34;2728;49;01:28:36
1631697784104;34;9978;107;01:28:32
1631697784104;34;9978;173;01:30:24
1631697784104;34;4952;0;01:29:36
1631697784104;34;4952;34;01:45:28
1631697784104;34;4952;94;02:47:12
1631697784104;34;2728;167;01:20:33
1631697784104;34;9978;0;01:30:24
1631697784104;34;6432;87;01:21:18
1631697784104;34;4952;0;01:29:22
1631697784104;36;1830;42;01:30:05
1631697784104;36;1830;0;01:19:08
1631697784104;36;1148;171;01:30:46
1631697784104;36;1148;38;01:31:03
1631697784104;36;1830;334;01:30:14
1631697784104;36;1148;42;01:31:12
1631697784104;36;1148;0;01:30:57
1631697784104;36;1148;615;01:30:59
1631697784104;36;1830;48;01:30:28
1631697784104;36;1830;36;01:30:34
1631697784104;36;1148;0;01:21:42
1631697784104;37;1954;251;01:28:56
1631697784104;37;1954;53;01:27:30
1631697784104;37;2934;141;01:32:24
1631697784104;37;2934;0;01:27:33
1631697784104;37;2934;0;02:57:22
1631697784104;38;3323;48;01:32:50
1631697784104;38;3323;0;02:07:56
1631697784104;38;4076;71;01:31:53
1631697784104;38;3323;0;02:07:56
1631697784104;38;4076;331;01:20:33
1631697784104;38;4076;213;01:55:23
1631697784104;38;4076;0;01:55:23
1631697784104;38;3323;135;02:47:12
1631697784104;38;3323;0;02:41:52
1631697784104;39;89;116;02:32:34
1631697784104;39;89;0;02:32:08
1631697784104;39;89;165;02:27:53
1631697784104;39;89;38;02:32:03
1631697784104;39;89;64;02:32:42
1631697784104;39;5520;46;02:31:58
1631697784104;39;5520;50;02:31:48
1631697784104;39;5520;0;02:32:00
1631697784104;39;5520;57;02:31:42
1631697784104;41;4076;0;01:28:45
1631697784104;41;1725;36;02:13:28
1631697784104;41;4076;0;01:46:00
1631697784104;41;4076;34;02:14:12
1631697784104;41;1725;0;02:07:56
1631697784104;41;4076;0;01:28:45
1631697784104;41;4076;34;01:33:38
1631697784104;41;1725;83;01:32:50
1631697784104;42;1385;36;01:33:35
1631697784104;42;2015;56;01:34:45
1631697784104;43;2109;40;02:20:54
1631697784104;43;4854;0;01:35:09
1631697784104;43;2109;50;01:35:03
1631697784104;43;4854;56;01:32:42
1631697784104;43;2109;234;01:32:13
1631697784104;43;4854;331;01:36:01
1631697784104;44;89;44;02:32:36
1631697784104;44;89;1036;03:39:37
1631697784104;44;9556;0;03:39:16
1631697784104;44;9556;290;03:39:11
1631697784104;44;9556;324;02:31:44
1631697784104;44;9556;0;01:01:29
1631697784104;44;9556;0;03:39:16
1631697784104;45;1385;0;03:34:52
1631697784104;45;1385;0;01:57:05
1631697784104;45;9292;263;01:25:33
1631697784104;45;9292;47;01:57:04
1631697784104;45;9292;34;01:25:25
1631697784104;45;1385;3;01:57:43
1631697784104;45;9292;83;01:49:52
1631697784104;45;3420;62;01:56:43
1631697784104;45;1385;0;03:34:52
1631697784104;45;3420;339;01:25:31
1631697784104;46;1896;46;02:02:31
1631697784104;46;1896;0;01:37:40
1631697784104;46;1201;0;01:31:36
1631697784104;46;1896;347;01:37:47
1631697784104;46;2323;0;01:37:00
1631697784104;46;1201;38;01:36:58
1631697784104;46;1896;40;01:37:36
1631697784104;46;1201;0;03:30:25
1631697784104;46;1201;90;01:36:52
1631697784104;46;1201;0;01:38:23
1631697784104;46;1896;0;01:20:01
1631697784104;46;1201;4;01:42:15
1631697784104;46;1201;519;01:41:16
1631697784104;47;2299;309;01:39:22
1631697784104;47;9784;300;03:43:03
1631697784104;47;2299;627;03:43:07
1631697784104;47;9784;67;01:30:38
1631697784104;47;2299;0;01:50:01
1631697784104;47;2299;271;01:32:54
1631697784104;47;3001;38;01:38:32
1631697784104;48;2733;135;01:43:54
1631697784104;48;2306;0;01:45:33
1631697784104;48;2733;0;01:38:26
1631697784104;48;2733;0;01:46:18
1631697784104;48;2306;1;01:46:20
1631697784104;48;2306;0;01:49:17
1631697784104;48;2306;490;01:40:15
1631697784104;48;2733;241;02:37:39
1631697784104;48;2733;359;01:45:44
1631697784104;49;2500;88;02:25:59
1631697784104;49;1288;0;01:21:26
1631697784104;49;1288;0;01:42:40
1631697784104;49;2500;38;01:42:12
1631697784104;49;2500;461;01:42:14
1631697784104;49;1288;0;01:42:11
1631697784104;49;1288;360;01:42:26
1631697784104;49;1288;40;01:42:30
1631697784104;50;2500;0;03:40:58
1631697784104;50;9658;238;01:42:19
1631697784104;50;9658;174;02:35:20
1631697784104;51;1110;0;01:33:04
1631697784104;51;1289;130;02:24:40
1631697784104;51;1289;331;02:24:20
1631697784104;51;1289;0;02:50:49
1631697784104;51;1110;0;02:23:27
1631697784104;51;1110;66;02:37:03
1631697784104;51;1289;0;01:12:06
1631697784104;51;1110;0;01:21:30
1631697784104;51;1289;74;01:32:41
1631697784104;51;1289;467;02:24:49
1631697784104;51;1110;256;01:47:31
1631697784104;51;1110;0;01:21:30
1631697784104;51;1110;38;02:50:53
1631697784104;51;1110;0;02:23:44
1631697784104;53;3001;70;01:42:27
1631697784104;53;1483;0;01:47:34
1631697784104;53;1483;293;01:46:06
1631697784104;53;3001;10;01:42:52
1631697784104;53;1483;48;01:42:34
1631697784104;53;1483;0;01:50:01
1631697784104;53;1483;483;01:41:50
1631697784104;53;3001;0;01:44:07
1631697784104;53;1483;67;01:41:51
1631697784104;53;1483;0;01:50:01
1631697784104;53;1483;34;01:47:41
1631697784104;53;3001;36;01:42:47
1631697784104;54;1072;7;01:48:48
