"Time";"LineID";"DirectionID";"DistanceFromPoint";"PointID "
1631664706228;7;5307;627;5758
1631664706228;7;2351;203;1048
1631664706228;27;2429;0;1140
1631664706228;27;1139;381;1135
1631664706228;27;2429;10;3899
1631664706228;27;2500;0;2429
1631664706228;27;1139;111;3211
1631664706228;27;1139;42;1126
1631664706228;34;9978;173;1824
1631664706228;34;6432;87;1278
1631664706228;37;1954;175;5810
1631664706228;42;1531;0;1531
1631664706228;42;2015;34;1383
1631664706228;42;2015;184;2078
1631664706228;42;2015;0;1383
1631664706228;79;1533;0;1339
1631664706228;79;1474;42;1533
1631664706228;79;1474;0;6055
1631664706228;80;5299;0;2988
1631664706228;80;4952;130;3905
1631664706228;80;4952;38;3906
1631664706228;80;9946;0;1824
1631664706228;80;9946;0;1824
1631664706228;80;9946;0;1824
1631664706228;80;4952;159;4367
1631664706228;82;5727;0;5727
1631664706228;83;4265;46;4157
1631664706228;83;4265;351;2801
