"LineID";"DirectionID";"DistanceFromPoint";"PointID";"Time";"Variance"
89;1261;328;2768;13:03:04;1
89;3347;44;2296;13:03:04;0
89;1261;54;1117;13:03:04;1
89;1261;34;3347;13:03:04;1
89;3347;30;2784;13:03:04;0
89;1261;0;3347;13:03:04;1
89;1261;465;2768;22:14:19;1
89;3347;44;2296;22:14:19;0
89;3347;223;2784;22:14:19;0
89;1261;0;3347;22:14:19;1
89;1261;58;2750;07:03:24;1
89;3347;44;2296;07:03:24;0
89;1261;40;2595;07:03:24;1
89;3347;28;2782;07:03:24;0
89;1261;0;3347;07:03:24;1
89;1261;58;2750;16:33:27;1
89;1261;40;2595;16:33:27;1
89;3347;56;2782;16:33:27;0
89;1261;0;3347;16:33:27;1
89;1261;34;1257;01:27:38;1
89;1261;44;2783;01:27:38;1
89;1261;40;2595;01:27:38;1
89;3347;56;2782;01:27:38;0
89;1261;0;3347;01:27:38;1
89;1261;34;1257;10:23:33;1
89;1261;44;2783;10:23:33;1
89;1261;294;2595;10:23:33;1
89;3347;56;2782;10:23:33;0
89;1261;0;3347;10:23:33;1
89;1261;34;1257;19:22:53;1
89;1261;44;2783;19:22:53;1
89;1261;56;2303;19:22:53;1
89;3347;56;2782;19:22:53;0
89;1261;0;3347;19:22:53;1
89;1261;38;2536;04:32:24;1
89;1261;0;2779;04:32:24;1
89;1261;0;3320;04:32:24;1
89;1261;0;3347;04:32:24;1
89;1261;38;2536;13:23:11;1
89;1261;277;2779;13:23:11;1
89;1261;95;3320;13:23:11;1
89;1261;0;3347;13:23:11;1
89;1261;531;2536;22:12:16;1
89;1261;54;2768;22:12:16;1
89;1261;0;3221;22:12:16;1
89;3347;0;1203;22:12:16;0
89;1261;0;3347;22:12:16;1
89;1261;0;1259;06:59:37;1
89;1261;0;3347;06:59:37;1
89;1261;213;2768;06:59:37;1
89;1261;55;3221;06:59:37;1
89;3347;0;1203;06:59:37;0
89;1261;0;3347;06:59:37;1
89;1261;91;1259;16:14:18;1
89;1261;0;3347;16:14:18;1
89;1261;291;2768;16:14:18;1
89;1261;174;3221;16:14:18;1
89;3347;38;1203;16:14:18;0
89;1261;0;3347;16:14:18;1
89;1261;91;1259;01:20:26;1
89;1261;0;3347;01:20:26;1
89;1261;358;2768;01:20:26;1
89;1261;0;3222;01:20:26;1
89;3347;150;1203;01:20:26;0
89;1261;0;3347;01:20:26;1
89;1261;364;1259;09:52:27;1
89;1261;0;3347;09:52:27;1
89;1261;0;2750;09:52:27;1
89;1261;171;3222;09:52:27;1
89;3347;168;4595;09:52:27;0
89;3347;102;2648;09:52:27;0
89;1261;0;3347;09:52:27;1
89;1261;34;1260;18:51:46;1
89;1261;0;3347;18:51:46;1
89;1261;249;2750;18:51:46;1
89;1261;0;3223;18:51:46;1
89;3347;49;6648;18:51:46;0
89;3347;0;1204;18:51:46;0
89;1261;0;3347;18:51:46;1
89;1261;212;1260;03:40:50;1
89;1261;0;3347;03:40:50;1
89;1261;24;1257;03:40:50;1
89;1261;38;3223;03:40:50;1
89;3347;251;6648;03:40:50;0
89;3347;4;1204;03:40:50;0
89;1261;0;3347;03:40:50;1
89;1261;388;1260;12:56:21;1
89;1261;0;3347;12:56:21;1
89;1261;283;1257;12:56:21;1
89;1261;0;3228;12:56:21;1
89;3347;38;3259;12:56:21;0
89;3347;100;1204;12:56:21;0
89;1261;0;3347;12:56:21;1
89;1261;388;1260;21:54:51;1
89;1261;0;3347;21:54:51;1
89;1261;2;2536;21:54:51;1
89;1261;42;3228;21:54:51;1
89;3347;320;3259;21:54:51;0
89;3347;484;1204;21:54:51;0
89;1261;0;3347;21:54:51;1
89;1261;388;1260;07:31:42;1
89;1261;0;3347;07:31:42;1
89;1261;41;2536;07:31:42;1
89;1261;42;3228;07:31:42;1
89;3347;0;3260;07:31:42;0
89;3347;484;1204;07:31:42;0
89;1261;160;3347;07:31:42;1
89;1261;388;1260;16:39:33;1
89;1261;0;3347;16:39:33;1
89;1261;234;2536;16:39:33;1
89;1261;38;3226;16:39:33;1
89;3347;0;3260;16:39:33;0
89;3347;40;1205;16:39:33;0
89;1261;160;3347;16:39:33;1
89;1261;0;3347;01:54:13;1
89;1261;234;2536;01:54:13;1
89;1261;38;3226;01:54:13;1
89;3347;0;3260;01:54:13;0
89;3347;40;1205;01:54:13;0
89;1261;160;3347;01:54:13;1
89;1261;0;3347;11:10:36;1
89;1261;234;2536;11:10:36;1
89;1261;38;3226;11:10:36;1
89;3347;0;3260;11:10:36;0
89;3347;40;1205;11:10:36;0
89;1261;38;2301;11:10:36;1
89;1261;0;3347;20:40:38;1
89;1261;234;2536;20:40:38;1
89;1261;38;3226;20:40:38;1
89;3347;40;1205;20:40:38;0
89;1261;191;2301;20:40:38;1
89;1261;0;3347;05:46:47;1
