"Time";"LineID";"DirectionID";"DistanceFromPoint";"PointID "
1632081993339;1;8161;0;8042
1632081993339;1;8161;0;8282
1632081993339;1;8731;0;8151
1632081993339;1;8731;1;8271
1632081993339;1;8161;0;8152
1632081993339;1;8161;0;8733
1632081993339;1;8731;0;8071
1632081993339;2;8472;0;8312
1632081993339;2;8763;0;8472
1632081993339;2;8472;0;8372
1632081993339;2;8763;1;8471
1632081993339;2;8763;0;8321
1632081993339;2;8763;0;8743
1632081993339;3;9959;0;5701
1632081993339;3;5776;426;2200
1632081993339;3;9959;40;2318
1632081993339;3;9959;0;5701
1632081993339;3;5776;348;5219
1632081993339;3;5776;240;726
1632081993339;3;9959;366;5714
1632081993339;3;9959;56;706
1632081993339;4;4502;6;5026
1632081993339;4;526;0;4501
1632081993339;4;4502;50;702
1632081993339;4;526;0;4501
1632081993339;4;526;0;526
1632081993339;4;526;0;5916
1632081993339;4;526;11;724
1632081993339;5;8262;1;8272
1632081993339;5;8642;0;8671
1632081993339;5;8262;0;8732
1632081993339;5;8642;0;8231
1632081993339;5;8642;0;8031
1632081993339;5;8262;0;8662
1632081993339;5;8262;0;8232
1632081993339;5;8642;0;8721
1632081993339;5;8642;0;8261
1632081993339;6;8834;0;8793
1632081993339;6;8472;1;8794
1632081993339;6;8834;0;8471
1632081993339;6;8472;0;8754
1632081993339;6;8472;0;8834
1632081993339;6;8834;0;8411
1632081993339;6;8834;0;8371
1632081993339;6;8472;0;8302
1632081993339;7;9969;3;3481
1632081993339;7;9969;48;5308
1632081993339;7;9969;0;9056
1632081993339;7;9051;0;5261
1632081993339;7;9051;44;5773
1632081993339;7;9051;374;5355
1632081993339;7;9969;0;9056
1632081993339;7;9969;72;5758
1632081993339;7;6421;0;6421
1632081993339;7;9969;0;9056
1632081993339;8;6361;0;5230
1632081993339;8;6361;0;5469
1632081993339;8;5229;409;5271
1632081993339;8;6361;38;5284
1632081993339;8;5229;0;5415
1632081993339;8;6361;403;5460
1632081993339;8;5229;0;5229
1632081993339;9;1687;117;1681
1632081993339;9;1687;0;470
1632081993339;9;1014;130;1686
1632081993339;12;1780;0;9600
1632081993339;12;9600;0;1780
1632081993339;12;1780;1373;5048
1632081993339;12;1780;0;9600
1632081993339;12;9600;0;9600
1632081993339;12;1780;1472;2250
1632081993339;12;9600;1429;1418
1632081993339;13;4111;314;1747
1632081993339;13;4111;152;2519
1632081993339;13;1727;0;4111
1632081993339;13;1727;0;4111
1632081993339;13;1727;4;4163
1632081993339;13;4111;0;1732
1632081993339;13;4111;48;1008
1632081993339;13;1727;38;1711
1632081993339;13;4111;121;1732
1632081993339;14;1083;0;1083
1632081993339;14;4265;143;1051
1632081993339;14;1083;281;4223
1632081993339;14;1083;0;4264
1632081993339;14;4265;34;2871
1632081993339;14;1722;0;4264
1632081993339;14;1083;385;2586
1632081993339;19;5086;34;5103
1632081993339;19;5170;275;5172
1632081993339;19;5170;0;5001
1632081993339;19;5086;887;2636
1632081993339;19;5086;109;6865
1632081993339;19;5010;259;4955
1632081993339;20;2081;68;2073
1632081993339;21;1162;81;3199
1632081993339;21;3201;80;6451
1632081993339;21;1162;36;3216
1632081993339;21;1162;0;3201
1632081993339;25;539;207;2726
1632081993339;25;6487;68;5205
1632081993339;25;2793;38;5265
1632081993339;25;6487;46;6204
1632081993339;25;6487;0;2793
1632081993339;25;5320;0;906
1632081993339;25;2794;170;6202
1632081993339;27;2429;0;1140
1632081993339;27;1139;381;1135
1632081993339;27;2429;10;3899
1632081993339;27;1162;0;2429
1632081993339;27;2429;0;1262
1632081993339;27;2500;0;2429
1632081993339;27;2289;0;2429
1632081993339;27;1139;111;3211
1632081993339;27;2429;38;1133
1632081993339;27;1162;52;3919
1632081993339;27;1139;42;1126
1632081993339;28;2919;0;1152
1632081993339;28;1830;207;2919
1632081993339;28;2919;0;1830
1632081993339;29;2594;0;1528
1632081993339;29;1528;315;1527
1632081993339;29;2594;86;1563
1632081993339;29;1528;52;1526
1632081993339;29;2594;0;1569
1632081993339;29;1528;34;3354
1632081993339;29;1528;0;2594
1632081993339;33;3221;0;2177
1632081993339;34;4952;69;1756
1632081993339;34;9978;0;2058
1632081993339;34;1731;157;1733
1632081993339;34;4952;0;4952
1632081993339;34;6432;0;1777
1632081993339;36;1830;233;1811
1632081993339;36;1148;0;1830
1632081993339;36;1148;93;1869
1632081993339;36;1830;0;1148
1632081993339;36;1148;42;1856
1632081993339;36;1830;0;1252
1632081993339;37;1954;0;1969
1632081993339;37;2934;48;2099
1632081993339;37;2934;42;7042
1632081993339;37;2934;58;2355
1632081993339;38;4076;36;1912
1632081993339;38;4076;0;3323
1632081993339;38;3323;0;4076
1632081993339;38;3323;334;1973
1632081993339;38;4076;0;3323
1632081993339;38;4076;399;1919
1632081993339;38;4076;0;3502
1632081993339;38;4076;0;3323
1632081993339;38;4076;0;3323
1632081993339;38;4076;0;3323
1632081993339;38;4076;34;1919
1632081993339;39;89;46;5555
1632081993339;39;89;0;5528
1632081993339;39;5520;5;6474
1632081993339;41;6468;0;1725
1632081993339;41;4076;0;1725
1632081993339;41;1725;62;5424
1632081993339;41;4076;38;4358
1632081993339;42;2015;0;1540
1632081993339;42;1385;46;2029
1632081993339;43;2109;0;1937
1632081993339;43;1951;41;1955
1632081993339;43;1951;112;2145
1632081993339;44;9556;0;9556
1632081993339;44;9556;44;5504
1632081993339;44;89;335;9577
1632081993339;45;9292;38;1535
1632081993339;45;1385;130;1554
1632081993339;46;1201;145;2217
1632081993339;46;1201;0;1896
1632081993339;46;1896;418;2518
1632081993339;46;1896;38;2267
1632081993339;46;1201;0;1896
1632081993339;46;1896;0;1201
1632081993339;46;2323;398;2217
1632081993339;46;1896;0;1201
1632081993339;46;1201;98;2535
1632081993339;46;2323;149;2215
1632081993339;46;1201;50;2835
1632081993339;47;9784;403;2314
1632081993339;47;2299;60;1827
1632081993339;47;2299;0;9784
1632081993339;48;5115;0;7142
1632081993339;48;2733;280;2634
1632081993339;48;2306;46;2777
1632081993339;48;7142;121;7141
1632081993339;48;2733;332;2778
1632081993339;48;2733;46;2737
1632081993339;48;2733;0;2306
1632081993339;48;2306;0;2733
1632081993339;48;2306;38;2412
1632081993339;49;2500;0;2535
1632081993339;49;2500;153;1197
1632081993339;49;2500;63;1288
